county & state,2015 Total Population (Esri)
Appanoose Iowa,12715
Decatur Iowa,8626
Woodbury Iowa,107935
Sac Iowa,10195
Kossuth Iowa,15585
Guthrie Iowa,10782
Scott Iowa,171753
Lee Iowa,34908
Clinton Iowa,48492
Des Moines Iowa,40765
Taylor Iowa,6245
Monona Iowa,8995
Fremont Iowa,9016
Washington Iowa,22286
Jackson Iowa,19650
Davis Iowa,8990
Van Buren Iowa,7564
Pratt Kansas,9675
Kiowa Kansas,2629
Meade Kansas,4516
Clay Kansas,8611
Haskell Kansas,4247
Nemaha Kansas,10299
Geary Kansas,36710
Gove Kansas,2697
Crawford Kansas,39669
Linn Kansas,9908
Reno Kansas,64842
Allen Kansas,13338
Bourbon Kansas,15230
Elk Kansas,2812
Harvey Kansas,35230
Lyon Kansas,33123
Cowley Kansas,36701
Brown Kansas,9834
Anderson Kansas,8076
Logan Kansas,2829
Graham Kansas,2499
Mitchell Kansas,6440
Miami Kansas,33280
Washington Kansas,5716
Saline Kansas,56525
Rawlins Kansas,2533
Edwards Kansas,3066
Butler Kansas,67430
Rooks Kansas,5232
Wichita Kansas,2219
Grant Kansas,7953
Stanton Kansas,2201
Rush Kansas,3248
Montgomery Kansas,34945
Osage Kansas,16265
Harper Kansas,6090
Smith Kansas,3867
Finney Kansas,37344
Norton Kansas,5723
Chase Kansas,2761
Russell Kansas,7107
Decatur Kansas,3032
Clark Kansas,2215
Seward Kansas,23413
Phillips Kansas,5657
Woodson Kansas,3271
Franklin Kansas,26183
Cherokee Kansas,21224
Cheyenne Kansas,2688
Pawnee Kansas,6926
Barber Kansas,4908
Ness Kansas,3117
Ellsworth Kansas,6532
Jackson Kansas,13494
Lincoln Kansas,3123
Sumner Kansas,23998
Morris Kansas,5868
McPherson Kansas,29673
Sedgwick Kansas,510610
Doniphan Kansas,7997
Lane Kansas,1704
Stevens Kansas,5877
Atchison Kansas,16993
Chautauqua Kansas,3553
Barton Kansas,27656
Wyandotte Kansas,156652
Comanche Kansas,1944
Thomas Kansas,7874
Gray Kansas,6102
Shawnee Kansas,179885
Pottawatomie Kansas,23814
Ellis Kansas,29304
Wilson Kansas,9301
Morton Kansas,3154
Kingman Kansas,7884
Scott Kansas,5062
Riley Kansas,78142
Rice Kansas,10305
Leavenworth Kansas,78040
Kearny Kansas,3946
Marshall Kansas,10133
Cloud Kansas,9596
Ford Kansas,35727
Ottawa Kansas,6110
Marion Kansas,12480
Osborne Kansas,3831
Hodgeman Kansas,1916
Labette Kansas,21273
Dickinson Kansas,20305
Neosho Kansas,16613
Trego Kansas,3039
Coffey Kansas,8781
Jefferson Kansas,19151
Stafford Kansas,4416
Douglas Kansas,115267
Jewell Kansas,2978
Sheridan Kansas,2548
Republic Kansas,4925
Greenwood Kansas,6413
Wabaunsee Kansas,7196
Johnson Kansas,573440
Greeley Kansas,1276
Hamilton Kansas,2683
Wallace Kansas,1510
Sherman Kansas,5993
Henderson Kentucky,46843
Daviess Kentucky,98317
Hickman Kentucky,4782
McCracken Kentucky,68254
Fulton Kentucky,6494
Hopkins Kentucky,47441
Trigg Kentucky,14791
Carlisle Kentucky,5170
Clinton Kentucky,10199
Webster Kentucky,13711
Logan Kentucky,27256
Taylor Kentucky,24814
Barren Kentucky,43618
Hart Kentucky,18976
Cumberland Kentucky,7173
Green Kentucky,11824
Christian Kentucky,76403
Adair Kentucky,19182
Union Kentucky,15251
Graves Kentucky,37569
Hancock Kentucky,10489
Breckinridge Kentucky,20869
McLean Kentucky,9770
Monroe Kentucky,10644
Ballard Kentucky,8444
Caldwell Kentucky,13016
Hardin Kentucky,111396
Warren Kentucky,120519
Russell Kentucky,17840
Lyon Kentucky,8820
Marshall Kentucky,32062
Muhlenberg Kentucky,31769
Simpson Kentucky,18225
Larue Kentucky,13887
Grayson Kentucky,25809
Crittenden Kentucky,9443
Allen Kentucky,21284
Calloway Kentucky,38437
Wayne Kentucky,20768
Todd Kentucky,12775
Metcalfe Kentucky,10160
Edmonson Kentucky,12757
Butler Kentucky,12992
Ohio Kentucky,24691
Livingston Kentucky,8460
Meade Kentucky,28509
Jefferson Kentucky,746618
Oldham Kentucky,67172
Bullitt Kentucky,79810
Pulaski Kentucky,63868
Leslie Kentucky,11505
Mason Kentucky,17646
Lawrence Kentucky,16107
Bracken Kentucky,8416
Lee Kentucky,7570
Breathitt Kentucky,13941
Greenup Kentucky,40677
Boone Kentucky,127362
Perry Kentucky,28680
Knott Kentucky,16966
Pike Kentucky,67990
Campbell Kentucky,88512
Johnson Kentucky,23550
Kenton Kentucky,167059
Floyd Kentucky,42036
Boyd Kentucky,49205
Martin Kentucky,13430
Letcher Kentucky,25110
Lewis Kentucky,14201
Carter Kentucky,28921
Scott Kentucky,50772
Rockcastle Kentucky,17032
Marion Kentucky,20285
Bell Kentucky,29068
Clark Kentucky,35267
Robertson Kentucky,2559
Nicholas Kentucky,7068
Woodford Kentucky,25985
Elliott Kentucky,7888
Rowan Kentucky,23946
Harlan Kentucky,30195
Nelson Kentucky,44669
Fleming Kentucky,14454
Harrison Kentucky,18726
Owen Kentucky,10279
Knox Kentucky,30369
Carroll Kentucky,11227
Wolfe Kentucky,7541
Casey Kentucky,16465
Gallatin Kentucky,8442
Spencer Kentucky,17502
Clay Kentucky,21469
Laurel Kentucky,62685
Boyle Kentucky,30242
Pendleton Kentucky,14874
Morgan Kentucky,13675
Franklin Kentucky,50140
Shelby Kentucky,43478
Montgomery Kentucky,26681
Owsley Kentucky,4551
McCreary Kentucky,18341
Washington Kentucky,11402
Grant Kentucky,24966
Powell Kentucky,12945
Bourbon Kentucky,20062
Anderson Kentucky,21522
Trimble Kentucky,8657
Mercer Kentucky,21761
Bath Kentucky,12127
Estill Kentucky,14337
Menifee Kentucky,6596
Madison Kentucky,85513
Lincoln Kentucky,24536
Henry Kentucky,15585
Jessamine Kentucky,50237
Garrard Kentucky,16520
Fayette Kentucky,308233
Jackson Kentucky,14034
Whitley Kentucky,35358
Magoffin Kentucky,13469
Grant Louisiana,23649
Red River Louisiana,8704
Sabine Louisiana,25803
Iberia Louisiana,73372
Rapides Louisiana,134768
Calcasieu Louisiana,196588
